formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group,crystal
Na3VO4,mp-755436,"[[0.0, 0.0, 0.0, 0.0, 0.383, 0.0], [0.0, 0.0, 0.0, 0.415, 0.0, 0.0], [0.5, 0.493, -0.961, 0.0, 0.0, 0.0]]",1.19022997123507,1,0,Orthorhombic,mm2,Orthorhombic mm2
CrSnSbO6,mp-1226180,"[[0.0, 0.0, 0.0, 0.0, -0.047, 0.0], [0.0, 0.0, 0.0, -0.047, 0.0, 0.0], [-0.047, -0.047, 0.051, 0.0, 0.0, 0.0]]",0.084142660999044,2,0,Tetragonal,4mm,Tetragonal 4mm
CsGeCl3,mp-22988,"[[0.0, 0.0, 0.0, 0.0, -0.262, -0.103], [-0.103, 0.103, 0.0, -0.262, 0.0, 0.0], [-0.281, -0.281, -0.495, 0.0, 0.0, 0.0]]",0.634744411160902,3,0,Trigonal,3m,Trigonal 3m
RbSnIO6,mp-554199,"[[0.0, 0.0, 0.0, 0.011, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.011, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.01064,4,0,Hexagonal,622,Hexagonal 622
UCO5,mp-29761,"[[0.0, 0.0, 0.0, 0.0, -0.09, 0.0], [0.0, 0.0, 0.0, 0.022, 0.0, 0.0], [0.381, 0.013, -0.35, 0.0, 0.0, 0.0]]",0.517998259166959,5,0,Orthorhombic,mm2,Orthorhombic mm2
LaH3(CO2)3,mp-642729,"[[0.0, 0.0, 0.0, 0.0, 0.184, 0.118], [0.118, -0.118, 0.0, 0.184, 0.0, 0.0], [-0.051, -0.051, 0.266, 0.0, 0.0, 0.0]]",0.275333810673517,6,0,Trigonal,3m,Trigonal 3m
Al2CdSe4,mp-3159,"[[0.0, 0.0, 0.0, -0.138, -0.057, 0.0], [0.0, 0.0, 0.0, 0.057, -0.138, 0.0], [-0.025, 0.025, 0.0, 0.0, 0.0, -0.138]]",0.149857750447186,7,0,Tetragonal,-4,Tetragonal -4
Na4Al3Si3ClO12,mp-23145,"[[0.0, 0.0, 0.0, 0.201, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.201, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.201]]",0.20067,8,0,Cubic,-43m,Cubic -43m
Tb2PbS4,mp-675645,"[[0.0, 0.0, 0.0, -0.656, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.562, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.562]]",0.656,9,0,Tetragonal,-42m,Tetragonal -42m
H10C3NClO4,mp-554570,"[[0.0, 0.0, 0.0, -0.008, 0.0, 0.003], [0.005, 0.031, -0.006, 0.0, -0.005, 0.0], [0.0, 0.0, 0.0, 0.009, 0.0, 0.004]]",0.032618482643306,10,0,Monoclinic,2,Monoclinic 2
Rb2CoCl4,mp-571242,"[[0.0, 0.0, 0.0, 0.0, -0.009, 0.0], [0.0, 0.0, 0.0, -0.013, 0.0, 0.0], [0.454, 0.161, -0.504, 0.0, 0.0, 0.0]]",0.697067719091911,11,0,Orthorhombic,mm2,Orthorhombic mm2
Mg2VN3,mp-1029368,"[[0.0, 0.0, 0.0, 0.0, 0.234, 0.0], [0.0, 0.0, 0.0, 0.32, 0.0, 0.0], [0.632, 0.702, -1.706, 0.0, 0.0, 0.0]]",1.9496395466342,12,0,Orthorhombic,mm2,Orthorhombic mm2
BaMgSiO4,mp-560186,"[[0.0, 0.0, 0.0, 1.272, 0.533, 0.0], [0.0, 0.0, 0.0, 0.533, -1.272, 0.0], [0.088, 0.088, 0.827, 0.0, 0.0, 0.0]]",1.37902353869187,13,0,Hexagonal,6,Hexagonal 6
PH2F3,mp-29515,"[[-0.095, 0.07, 0.183, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.01], [0.0, 0.0, 0.0, 0.0, -0.007, 0.0]]",0.218025911443558,14,0,Orthorhombic,mm2,Orthorhombic mm2
BaS3,mp-239,"[[0.0, 0.0, 0.0, 0.419, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.332, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.332]]",0.41852,15,0,Tetragonal,-42m,Tetragonal -42m
SiO2,mp-546546,"[[0.004, -0.004, 0.0, 0.017, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.017, -0.004], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.017662429423354,16,0,Trigonal,32,Trigonal 32
BaAl4S7,mp-8258,"[[0.0, 0.0, 0.0, 0.0, 0.172, 0.0], [0.0, 0.0, 0.0, 0.37, 0.0, 0.0], [0.259, 0.228, 0.037, 0.0, 0.0, 0.0]]",0.36962,17,0,Orthorhombic,mm2,Orthorhombic mm2
Cd(HO)2,mp-625094,"[[-0.42, 0.082, -0.06, -0.083, -0.207, 0.341], [0.159, 0.608, 0.172, 0.166, -0.073, -0.016], [-0.145, 0.156, -0.498, 0.271, -0.242, -0.106]]",0.716340724319162,18,0,Triclinic,1,Triclinic 1
VFe(P2O7)2,mp-767722,"[[0.04, 0.151, 0.052, 0.045, 0.247, 0.126], [-0.109, -0.087, -0.06, -0.16, -0.073, 0.024], [-0.102, 0.038, 0.02, 0.076, -0.022, 0.058]]",0.361270545573417,19,0,Triclinic,1,Triclinic 1
Mn2V2O7,mp-1295909,"[[-0.071, -0.53, 0.185, 0.535, 0.322, -0.78], [-0.145, 0.503, -0.436, -0.802, -0.006, 0.719], [0.01, 0.121, -0.371, -0.432, -0.16, 0.578]]",1.85360223144973,20,0,Triclinic,1,Triclinic 1
CoHgC4(SN)4,mp-540934,"[[0.0, 0.052, -0.052, 0.048, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.003, -0.048], [0.0, 0.0, 0.0, 0.0, 0.048, 0.003]]",0.088207130647565,21,0,Tetragonal,-4,Tetragonal -4
InAgGeSe4,mp-1223893,"[[0.0, 0.0, 0.0, -0.542, 0.034, 0.0], [0.0, 0.0, 0.0, -0.034, -0.542, 0.0], [0.125, -0.125, 0.0, 0.0, 0.0, -0.595]]",0.620887153291907,22,0,Tetragonal,-4,Tetragonal -4
Ag5P(S2Cl)2,mp-559847,"[[0.0, 0.0, 0.0, 0.0, 1.395, 0.0], [0.0, 0.0, 0.0, 0.006, 0.0, 0.0], [-0.045, 0.402, 0.219, 0.0, 0.0, 0.0]]",1.39515,23,0,Orthorhombic,mm2,Orthorhombic mm2
LiBeSb,mp-9575,"[[0.0, 0.0, 0.0, 0.0, -0.081, 0.0], [0.0, 0.0, 0.0, -0.081, 0.0, 0.0], [0.233, 0.233, -0.699, 0.0, 0.0, 0.0]]",0.772463048889732,24,0,Hexagonal,6mm,Hexagonal 6mm
MnSnO3,mp-691106,"[[0.0, 0.0, 0.0, 0.0, 0.035, 0.03], [0.03, -0.03, 0.0, 0.035, 0.0, 0.0], [-0.076, -0.076, 0.48, 0.0, 0.0, 0.0]]",0.491475371509093,25,0,Trigonal,3m,Trigonal 3m
CsSrSiHO4,mp-995215,"[[0.0, 0.0, 0.0, -0.033, 0.0, 0.096], [0.078, -0.145, 0.007, 0.0, -0.043, 0.0], [0.0, 0.0, 0.0, 0.133, 0.0, 0.036]]",0.170173725351477,26,0,Monoclinic,2,Monoclinic 2
FeCo3(PO4)4,mp-771952,"[[0.154, 0.635, 0.351, 0.0, 0.001, 0.0], [0.0, 0.0, 0.0, 0.243, 0.0, 0.04], [-0.248, 0.115, -0.027, 0.0, 0.135, 0.0]]",0.742498891765516,27,0,Monoclinic,m,Monoclinic m
LiFeSiO4,mp-752893,"[[0.114, 0.112, 0.078, 0.0, 0.027, 0.0], [0.0, 0.0, 0.0, 0.158, 0.0, -0.203], [0.835, 0.507, 0.33, 0.0, -0.221, 0.0]]",1.06654274532805,28,0,Monoclinic,m,Monoclinic m
SiO2,mp-554151,"[[0.0, 0.038, -0.038, -0.027, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.007, 0.138], [0.0, 0.0, 0.0, 0.0, -0.138, 0.007]]",0.138269666799161,29,0,Tetragonal,-4,Tetragonal -4
KP(HO2)2,mp-23959,"[[0.0, 0.0, 0.0, 0.0, 0.015, 0.0], [0.0, 0.0, 0.0, -0.041, 0.0, 0.0], [-0.07, -0.112, 0.105, 0.0, 0.0, 0.0]]",0.168702881125368,30,0,Orthorhombic,mm2,Orthorhombic mm2
NbSbO4,mp-3491,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.133], [4.437, 0.362, 6.753, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.658, 0.0, 0.0]]",8.08850348078679,31,0,Orthorhombic,mm2,Orthorhombic mm2
Cs3SbS3,mp-1193894,"[[0.0, 0.0, 0.0, 0.101, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.101, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.101]]",0.10118,32,0,Cubic,23,Cubic 23
HCN,mp-644385,"[[0.757, -0.016, -0.016, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.068], [0.0, 0.0, 0.0, 0.0, -0.068, 0.0]]",0.757484832059362,33,0,Tetragonal,4mm,Tetragonal 4mm
Li2Mn2Si2O7,mp-859108,"[[0.0, 0.0, 0.0, 0.0, 0.721, 0.0], [0.0, 0.0, 0.0, 0.055, 0.0, 0.0], [0.172, 0.194, 0.027, 0.0, 0.0, 0.0]]",0.72139,34,0,Orthorhombic,mm2,Orthorhombic mm2
ZnSe,mp-380,"[[0.0, 0.0, 0.0, 0.0, 0.008, 0.0], [0.0, 0.0, 0.0, 0.008, 0.0, 0.0], [-0.023, -0.023, -0.062, 0.0, 0.0, 0.0]]",0.069791251039088,35,0,Hexagonal,6mm,Hexagonal 6mm
Na3As,mp-655,"[[0.0, 0.0, 0.0, 0.0, -0.001, 0.0], [0.0, 0.0, 0.0, -0.001, 0.0, 0.0], [0.013, 0.013, -0.004, 0.0, 0.0, 0.0]]",0.018766411484352,36,0,Hexagonal,6mm,Hexagonal 6mm
Na3PS4,mp-985584,"[[0.0, 0.0, 0.0, 0.929, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.929, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.929]]",0.92883,37,0,Cubic,-43m,Cubic -43m
WN2,mp-754628,"[[0.126, -0.077, -0.005, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.134], [0.0, 0.0, 0.0, 0.0, -0.011, 0.0]]",0.147222037752505,38,0,Orthorhombic,mm2,Orthorhombic mm2
Y3CuSnS7,mp-17747,"[[0.0, 0.0, 0.0, -0.088, 0.185, 0.0], [0.0, 0.0, 0.0, 0.185, 0.088, 0.0], [0.089, 0.089, -0.905, 0.0, 0.0, 0.0]]",0.914003179682298,39,0,Hexagonal,6,Hexagonal 6
ZrNiSn,mp-924129,"[[0.0, 0.0, 0.0, -0.074, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.074, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.074]]",0.0735799501072,40,0,Cubic,-43m,Cubic -43m
GaAgSe2,mp-5518,"[[0.0, 0.0, 0.0, 0.218, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.218, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.154]]",0.218086221517514,41,0,Tetragonal,-42m,Tetragonal -42m
KHS,mp-38011,"[[0.0, 0.0, 0.0, 0.0, -0.153, -0.046], [-0.046, 0.046, 0.0, -0.153, 0.0, 0.0], [-0.078, -0.078, -0.129, 0.0, 0.0, 0.0]]",0.168986493572502,42,0,Trigonal,3m,Trigonal 3m
Al2O3,mp-752826,"[[0.168, -0.068, -0.12, 0.061, 0.344, -0.336], [-0.292, 0.417, 0.054, 0.186, 0.096, -0.087], [0.331, 0.262, -0.283, -0.061, -0.334, -0.076]]",0.631785355892867,43,0,Triclinic,1,Triclinic 1
Ca4Al6TeO12,mp-15312,"[[0.0, 0.0, 0.0, -0.499, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.499, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.499]]",0.498555056563266,44,0,Cubic,-43m,Cubic -43m
Zn(BH4)2,mp-1191586,"[[0.0, 0.0, 0.0, -0.262, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.262, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.262240000000021,45,0,Tetragonal,422,Tetragonal 422
TaTl3S4,mp-7562,"[[0.0, 0.0, 0.0, -0.357, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.357, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.357]]",0.356528012747641,46,0,Cubic,-43m,Cubic -43m
LiMnSbO4,mp-755701,"[[0.0, 0.0, 0.0, -0.056, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.056, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.05638,47,0,Tetragonal,422,Tetragonal 422
TbAgTe2,mp-3551,"[[0.0, 0.0, 0.0, -0.738, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.128, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.128]]",0.7379,48,0,Tetragonal,-42m,Tetragonal -42m
Mg2Ti3O8,mp-1042395,"[[0.0, 0.0, 0.0, 0.0, -1.601, 0.0], [0.0, 0.0, 0.0, -1.601, 0.0, 0.0], [0.189, 0.189, -0.082, 0.0, 0.0, 0.0]]",1.60053033669015,49,0,Hexagonal,6mm,Hexagonal 6mm
Eu(YS2)2,mp-38971,"[[0.0, 0.0, 0.0, 0.408, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.554, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.554]]",0.553776354571661,50,0,Tetragonal,-42m,Tetragonal -42m
ZrPbO3,mp-20337,"[[0.0, 0.0, 0.0, 0.0, 0.0, 1.167], [-1.572, -2.196, 0.18, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",2.70714112314079,51,0,Orthorhombic,mm2,Orthorhombic mm2
ZrO2,mp-556605,"[[1.203, 1.848, 1.589, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.245], [0.0, 0.0, 0.0, 0.0, -0.876, 0.0]]",2.71773410106655,52,0,Orthorhombic,mm2,Orthorhombic mm2
Mg3(AsO4)2,mp-758196,"[[0.0, 0.0, 0.0, 0.123, 0.153, 0.0], [0.0, 0.0, 0.0, -0.153, 0.123, 0.0], [0.198, -0.198, 0.0, 0.0, 0.0, 0.032]]",0.281347910157513,53,0,Tetragonal,-4,Tetragonal -4
Cd4GeSe6,mp-18163,"[[0.188, -0.153, -0.103, 0.0, -0.02, 0.0], [0.0, 0.0, 0.0, -0.144, 0.0, -0.154], [-0.051, -0.073, 0.206, 0.0, -0.1, 0.0]]",0.289390601763992,54,0,Monoclinic,m,Monoclinic m
SrGeTeO6,mp-10341,"[[0.0, 0.0, 0.0, -0.063, 0.0, -0.062], [-0.062, 0.062, 0.0, 0.0, 0.063, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.107947184518651,55,0,Trigonal,32,Trigonal 32
LiAlSiO4,mp-18220,"[[0.007, -0.007, 0.0, 0.002, -0.047, -0.025], [-0.025, 0.025, 0.0, -0.047, -0.002, -0.007], [-0.068, -0.068, 0.139, 0.0, 0.0, 0.0]]",0.168733625604316,56,0,Trigonal,3,Trigonal 3
Al(HO)3,mp-626500,"[[0.071, 0.29, -0.746, -0.199, 0.11, -0.124], [-0.023, -0.356, -0.13, 0.182, -0.049, 0.035], [0.023, 0.258, 0.654, -0.101, -0.04, 0.005]]",1.01335628952116,57,0,Triclinic,1,Triclinic 1
Sr3As4,mp-15339,"[[0.0, 0.0, 0.0, 0.0, 0.199, 0.0], [0.0, 0.0, 0.0, -0.027, 0.0, 0.0], [0.022, 0.036, 0.21, 0.0, 0.0, 0.0]]",0.214376782138823,58,0,Orthorhombic,mm2,Orthorhombic mm2
NaLi5N2,mp-569525,"[[0.535, -0.065, -0.448, 0.0, 0.309, 0.0], [0.0, 0.0, 0.0, -0.012, 0.0, 0.214], [0.342, 0.036, 0.151, 0.0, -0.136, 0.0]]",0.773035623307145,59,0,Monoclinic,m,Monoclinic m
H4N2O3,mp-625686,"[[0.0, 0.0, 0.0, 0.0, -0.024, 0.0], [0.0, 0.0, 0.0, -0.15, 0.0, 0.0], [0.004, 0.168, -0.026, 0.0, 0.0, 0.0]]",0.170498632252578,60,0,Orthorhombic,mm2,Orthorhombic mm2
Nd5CuSe8,mp-36252,"[[0.0, 0.0, 0.0, -0.311, -0.101, 0.0], [0.0, 0.0, 0.0, 0.101, -0.311, 0.0], [-0.046, 0.046, 0.0, 0.0, 0.0, -0.244]]",0.327223375731319,61,0,Tetragonal,-4,Tetragonal -4
ZrMnO3,mp-754513,"[[0.0, 0.0, 0.0, 0.0, 0.851, -0.539], [-0.539, 0.539, 0.0, 0.851, 0.0, 0.0], [-0.3, -0.3, 0.464, 0.0, 0.0, 0.0]]",1.14212851009854,62,0,Trigonal,3m,Trigonal 3m
WS2,mp-1023937,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.149], [0.149, -0.149, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.210908758107811,63,0,Hexagonal,-6m2,Hexagonal -6m2
GaCuBr4,mp-1212660,"[[0.0, 0.0, 0.0, 0.205, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.205, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.276]]",0.2763,64,0,Tetragonal,-42m,Tetragonal -42m
Sm2PbS4,mp-675511,"[[0.0, 0.0, 0.0, 0.567, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.392, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.392]]",0.56688,65,0,Tetragonal,-42m,Tetragonal -42m
IOF3,mp-559377,"[[0.0, 0.0, 0.0, -0.271, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.046, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.138]]",0.27129,66,0,Orthorhombic,222,Orthorhombic 222
ZnS,mp-10281,"[[0.0, 0.0, 0.0, 0.0, -0.038, 0.0], [0.0, 0.0, 0.0, -0.038, 0.0, 0.0], [-0.069, -0.069, 0.073, 0.0, 0.0, 0.0]]",0.121363893724618,67,0,Hexagonal,6mm,Hexagonal 6mm
LiSn2N3,mp-1029294,"[[0.0, 0.0, 0.0, 0.0, -0.153, 0.0], [0.0, 0.0, 0.0, -0.226, 0.0, 0.0], [-0.206, -0.293, 0.927, 0.0, 0.0, 0.0]]",0.993957537322395,68,0,Orthorhombic,mm2,Orthorhombic mm2
MgH12SO9,mp-23887,"[[0.079, -0.079, 0.0, 0.03, 0.138, 0.02], [0.02, -0.02, 0.0, 0.138, -0.03, -0.079], [0.219, 0.219, -0.042, 0.0, 0.0, 0.0]]",0.313208801840426,69,0,Trigonal,3,Trigonal 3
InAgTe2,mp-22386,"[[0.0, 0.0, 0.0, 0.067, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.067, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.148]]",1.14832866862112,70,0,Tetragonal,-42m,Tetragonal -42m
K2NaVOF5,mp-39843,"[[0.0, 0.0, 0.0, 0.0, -0.052, 0.0], [0.0, 0.0, 0.0, -0.052, 0.0, 0.0], [0.073, 0.073, 0.528, 0.0, 0.0, 0.0]]",0.538440443038968,71,0,Tetragonal,4mm,Tetragonal 4mm
CsPbF3,mp-20282,"[[0.0, 0.0, 0.0, 0.0, 0.024, -0.346], [-0.346, 0.346, 0.0, 0.024, 0.0, 0.0], [0.304, 0.304, -0.23, 0.0, 0.0, 0.0]]",0.489417733046944,72,0,Trigonal,3m,Trigonal 3m
LiMnPO4,mp-753011,"[[0.0, 0.0, 0.0, 0.232, 0.117, 0.0], [0.0, 0.0, 0.0, -0.117, 0.232, 0.0], [0.284, -0.284, 0.0, 0.0, 0.0, 0.367]]",0.544656932160053,73,0,Tetragonal,-4,Tetragonal -4
ZnAg2GeS4,mp-1215558,"[[0.0, 0.0, 0.0, -0.855, 0.005, 0.0], [0.0, 0.0, 0.0, -0.005, -0.855, 0.0], [-0.005, 0.005, 0.0, 0.0, 0.0, -0.724]]",0.854694276335111,74,0,Tetragonal,-4,Tetragonal -4
SbTeRh,mp-1219458,"[[0.0, 0.0, 0.0, 0.121, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.121, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.121]]",0.12117,75,0,Cubic,23,Cubic 23
LiCoSiO4,mp-758521,"[[0.0, 0.0, 0.0, 0.26, -0.074, 0.0], [0.0, 0.0, 0.0, 0.074, 0.26, 0.0], [-0.067, 0.067, 0.0, 0.0, 0.0, 0.207]]",0.270418372757843,76,0,Tetragonal,-4,Tetragonal -4
HoAgS2,mp-18262,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.019, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.019]]",0.019012855915906,77,0,Tetragonal,422,Tetragonal 422
MgSiN2,mp-15701,"[[0.0, 0.0, 0.0, -0.48, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.48, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1.146]]",1.14581,78,0,Tetragonal,-42m,Tetragonal -42m
Li8CoO6,mp-27920,"[[0.0, 0.0, 0.0, 0.0, 0.013, 0.0], [0.0, 0.0, 0.0, 0.013, 0.0, 0.0], [0.086, 0.086, 0.178, 0.0, 0.0, 0.0]]",0.215605636379674,79,0,Hexagonal,6mm,Hexagonal 6mm
Ag3Te2Au,mp-5710,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1.07694655982182E-17,80,0,Cubic,432,Cubic 432
Li2VPO4F,mp-25403,"[[-0.128, -0.358, -0.109, 0.057, -0.031, -0.015], [0.02, -0.224, -0.034, -0.12, -0.034, 0.258], [-0.29, -0.263, -0.081, 0.027, -0.072, 0.113]]",0.603999796174896,81,0,Triclinic,1,Triclinic 1
Li(CoO2)2,mp-756773,"[[0.0, 0.0, 0.0, 0.0, 0.065, 0.201], [0.201, -0.201, 0.0, 0.065, 0.0, 0.0], [-0.24, -0.24, -0.106, 0.0, 0.0, 0.0]]",0.356018417782008,82,0,Trigonal,3m,Trigonal 3m
KAl(SO4)2,mp-669367,"[[-0.111, 0.111, 0.0, -0.023, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.023, 0.111], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.159277473193815,83,0,Trigonal,32,Trigonal 32
LiMnP(H6O5)2,mp-850407,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.908], [0.182, 0.147, 0.134, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.077, 0.0, 0.0]]",0.90785,84,0,Orthorhombic,mm2,Orthorhombic mm2
Nd2TeO6,mp-31318,"[[0.0, 0.0, 0.0, 0.342, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.128, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.12]]",0.34191,85,0,Orthorhombic,222,Orthorhombic 222
BaBPO5,mp-15840,"[[-0.086, 0.086, 0.0, -0.143, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.143, 0.086], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.187221737874303,86,0,Trigonal,32,Trigonal 32
Pb2O3,mp-754071,"[[-1.387, -0.616, -0.541, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.512], [0.0, 0.0, 0.0, 0.0, -0.871, 0.0]]",1.61124733312425,87,0,Orthorhombic,mm2,Orthorhombic mm2
BaZr(SiO3)3,mp-1214228,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.121], [0.121, -0.121, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.170837001412282,88,0,Hexagonal,-6m2,Hexagonal -6m2
Te2SO7,mp-557480,"[[0.0, 0.0, 0.0, 0.0, 0.301, 0.0], [0.0, 0.0, 0.0, -0.553, 0.0, 0.0], [0.138, 0.18, -0.717, 0.0, 0.0, 0.0]]",0.752116611237912,89,0,Orthorhombic,mm2,Orthorhombic mm2
RbGeIO6,mp-549697,"[[0.0, 0.0, 0.0, -0.018, 0.0, -0.005], [-0.005, 0.005, 0.0, 0.0, 0.018, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.018852931547947,90,0,Trigonal,32,Trigonal 32
Li4MnF8,mp-756952,"[[0.0, 0.0, 0.0, 0.197, 0.0, 0.321], [-0.181, -0.033, -0.101, 0.0, 0.102, 0.0], [0.0, 0.0, 0.0, -0.239, 0.0, -0.05]]",0.419820246027152,91,0,Monoclinic,2,Monoclinic 2
Ag2GeS3,mp-9900,"[[0.0, 0.0, 0.0, 0.0, 0.184, 0.0], [0.0, 0.0, 0.0, -0.225, 0.0, 0.0], [-0.16, -0.141, 0.035, 0.0, 0.0, 0.0]]",0.22502,92,0,Orthorhombic,mm2,Orthorhombic mm2
TeS4(NCl)4,mp-554646,"[[-0.053, 0.037, -0.005, 0.0, 0.014, 0.0], [0.0, 0.0, 0.0, 0.071, 0.0, 0.002], [-0.014, -0.017, 0.032, 0.0, -0.048, 0.0]]",0.071417653481572,93,0,Monoclinic,m,Monoclinic m
Te(HO)6,mp-625993,"[[0.046, -0.058, -0.049, -0.072, -0.052, 0.004], [-0.066, -0.063, -0.062, -0.097, 0.01, -0.005], [0.061, -0.02, 0.146, 0.112, -0.065, 0.078]]",0.254685376020623,94,0,Triclinic,1,Triclinic 1
Yb(NdS2)2,mp-20797,"[[0.0, 0.0, 0.0, -0.62, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.235, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.282]]",0.620330000000005,95,0,Orthorhombic,222,Orthorhombic 222
H8Se2N2O5,mp-722865,"[[0.0, 0.0, 0.0, 0.049, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.085, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.081]]",0.0854,96,0,Orthorhombic,222,Orthorhombic 222
RbNb(GeO3)3,mp-540633,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.029], [-0.029, 0.029, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.040927340824056,97,0,Hexagonal,-6m2,Hexagonal -6m2
Sc2O3,mp-775837,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.115], [-0.503, 1.177, 0.242, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.256, 0.0, 0.0]]",1.30272786425255,98,0,Orthorhombic,mm2,Orthorhombic mm2
SrCu2GeSe4,mp-16179,"[[0.0, 0.0, 0.0, 0.0, -0.177, 0.0], [0.0, 0.0, 0.0, -0.019, 0.0, 0.0], [-0.232, -0.147, -0.875, 0.0, 0.0, 0.0]]",0.91670236494718,99,0,Orthorhombic,mm2,Orthorhombic mm2
