formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group,crystal
Rb2O,mp-776922,"[[-0.006, 0.006, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.006], [0.002, 0.002, -0.003, 0.0, 0.0, 0.0]]",0.008349338379085,1976,0,Tetragonal,4mm,Tetragonal 4mm
MoS2,mp-1434,"[[0.0, 0.0, 0.0, 0.0, -0.002, -0.523], [-0.523, 0.523, 0.0, -0.002, 0.0, 0.0], [0.0, 0.0, -0.006, 0.0, 0.0, 0.0]]",0.73934959889169,1977,0,Orthorhombic,mm2,Orthorhombic mm2
CsCuSe4,mp-17095,"[[0.0, 0.0, 0.0, -0.066, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.279, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.237]]",0.27916,1978,0,Cubic,23,Cubic 23
Na3WN3,mp-16839,"[[-0.126, 0.296, -0.231, 0.0, 0.154, 0.0], [0.0, 0.0, 0.0, 0.086, 0.0, 0.059], [0.169, 0.046, 0.204, 0.0, -0.135, 0.0]]",0.473076774830604,1979,0,Tetragonal,-4,Tetragonal -4
Na2ZnGeO4,mp-6402,"[[0.017, 0.017, -0.029, 0.0, -0.462, 0.0], [0.0, 0.0, 0.0, -0.448, 0.0, 0.014], [-0.694, -0.434, 1.14, 0.0, 0.0, 0.0]]",1.40431413345508,1980,0,Orthorhombic,222,Orthorhombic 222
Zr3N2O3,mp-1101160,"[[-0.386, -0.099, -0.011, 0.0, 0.178, 0.0], [0.0, 0.0, 0.0, -0.008, 0.0, -0.082], [0.198, 0.25, 0.154, 0.0, 0.033, 0.0]]",0.510720292097867,1981,0,Orthorhombic,mm2,Orthorhombic mm2
Li2ZnSnS4,mp-555186,"[[-0.003, -0.037, 0.034, 0.0, 0.336, 0.0], [0.0, 0.0, 0.0, 0.379, 0.0, -0.019], [0.434, 0.342, -0.724, 0.0, 0.017, 0.0]]",0.91192852904269,1982,0,Orthorhombic,222,Orthorhombic 222
LiCrP2O7,mp-27035,"[[0.0, 0.0, 0.0, 0.213, 0.0, 1.161], [0.013, 0.33, 0.005, 0.0, 0.221, 0.0], [0.0, 0.0, 0.0, -0.392, 0.0, -1.365]]",1.84509986966908,1983,0,Hexagonal,6mm,Hexagonal 6mm
NaHfPCO7,mp-767535,"[[0.0, 0.0, 0.0, 0.14, 0.0, -0.059], [0.164, -0.054, -0.211, 0.0, -0.308, 0.0], [0.0, 0.0, 0.0, -0.32, 0.0, 0.054]]",0.411309139455957,1984,0,Tetragonal,-42m,Tetragonal -42m
Ca(PrS2)2,mp-34185,"[[0.0, 0.0, 0.0, 0.317, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.317, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.35]]",0.3504,1985,0,Trigonal,32,Trigonal 32
SiO2,mp-555235,"[[-0.003, -0.022, 0.021, 0.0, -0.011, 0.0], [0.0, 0.0, 0.0, -0.114, 0.0, 0.062], [-0.048, -0.128, 0.083, 0.0, -0.071, 0.0]]",0.178388646017108,1986,0,Trigonal,3,Trigonal 3
LiMnPO4,mp-26819,"[[0.172, -0.07, -0.214, 0.0, -0.015, 0.0], [0.0, 0.0, 0.0, -0.162, 0.0, -0.098], [-0.151, -0.223, 0.071, 0.0, -0.127, 0.0]]",0.334298661586513,1987,0,Orthorhombic,222,Orthorhombic 222
Cs3As5O9,mp-30300,"[[0.015, -0.015, 0.0, 0.0, 0.15, 0.0], [0.0, 0.0, 0.0, 0.15, 0.0, -0.015], [-0.026, -0.026, -0.332, 0.0, 0.0, 0.0]]",0.334231711691156,1988,0,Tetragonal,-4,Tetragonal -4
K4Al3Si3ClO12,mp-23149,"[[0.0, 0.0, 0.0, -0.007, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.007, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.007]]",0.00707,1989,0,Tetragonal,4mm,Tetragonal 4mm
Si3Ag3(SnP3)2,mp-18310,"[[0.0, 0.0, 0.0, 0.092, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.092, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.092]]",0.091660036560775,1990,0,Orthorhombic,mm2,Orthorhombic mm2
LiH6ClO7,mp-23797,"[[0.0, 0.0, 0.0, 0.0, -0.075, 0.0], [0.0, 0.0, 0.0, -0.075, 0.0, 0.0], [0.043, 0.043, 0.095, 0.0, 0.0, 0.0]]",0.113254877599158,1991,0,Orthorhombic,mm2,Orthorhombic mm2
VFeSb,mp-567636,"[[0.0, 0.0, 0.0, 3.668, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 3.668, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.668]]",3.66752532423263,1992,0,Trigonal,3m,Trigonal 3m
KCN,mp-35035,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.081], [-0.083, 0.023, 0.014, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.062, 0.0, 0.0]]",0.087232488698517,1993,0,Hexagonal,-6m2,Hexagonal -6m2
AlGa3N4,mp-1019508,"[[0.0, 0.0, 0.0, 0.235, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.235, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.235]]",0.23519,1994,0,Orthorhombic,222,Orthorhombic 222
PI3,mp-27529,"[[0.0, 0.0, 0.0, -0.042, -0.114, 0.0], [0.0, 0.0, 0.0, -0.114, 0.042, 0.0], [-0.139, -0.139, -0.175, 0.0, 0.0, 0.0]]",0.263559074569691,1995,0,Trigonal,32,Trigonal 32
