,x_comp,Ta,Zr,Y,Hf,Nb,K
0,0.0,1.6244701774125556,1.6244701774125556,1.6244701774125556,1.6244701774125556,1.6244701774125556,1.6244701774125556
1,0.025,0.6707806419539053,0.4283997552304873,0.8915413282615363,0.49428604136257365,1.6570177107126915,1.7777251350623557
2,0.05,0.7625382879562791,0.448096808334136,1.0021566569354687,0.609084881095449,1.6953305849242135,1.7047950818703632
3,0.07500000000000001,0.8466408428109226,0.4775883621580936,1.1278561945228753,0.8009237114340491,1.7742617160532204,1.6381811723722313
4,0.1,0.9926845470434583,0.510353508226033,1.2435191554586247,1.0644962777485683,1.8715043043596333,1.6095889526507836
5,0.125,1.1077944862653146,0.5401656663720457,1.3529213807910445,1.3494762735701236,2.0105220951372136,1.5830514199142
6,0.15000000000000002,1.2308919431444356,0.5688457146359033,1.4647844608328713,1.6361650585184464,2.165615326089237,1.556575599029109
7,0.17500000000000002,1.3086439650042423,0.6426980499716928,1.5766833907087903,1.8917398355606954,2.3148354265287923,1.526905703798906
8,0.2,1.3700770039495123,0.7546646835089664,1.6482214716195869,2.1275252767337895,2.4517036265023227,1.4921062976271826
9,0.225,1.4219269518581856,0.8829711929398806,1.7143862364096,2.342994827853711,2.5755263244451094,1.4564203711558321
10,0.25,1.5050762841622558,1.0160575724711216,1.8085576480874037,2.544194100777514,2.6723641051861637,1.4264506469270661
11,0.275,1.6037762789844356,1.1433116089491633,1.9271609476479605,2.742326728773258,2.7737773995489965,1.3949696181885214
12,0.30000000000000004,1.7182273694402659,1.2650593756813526,2.0337322175802,2.926370862618105,2.868254507710517,1.3643381610216851
13,0.325,1.8221856306063304,1.383447318774039,2.104491316013359,3.06680679975821,2.950476940997655,1.3343138636377818
14,0.35000000000000003,1.920931870378053,1.4919857811017463,2.155010507395073,3.16666155266813,3.0271556122432672,1.3049623593414414
15,0.375,2.008650028615376,1.587946697353701,2.203701510576714,3.2563910389947504,3.099484255919831,1.2762967754432502
16,0.4,2.0452083045241367,1.6716206762371095,2.226937513501333,3.3079990092177294,3.16710410616411,1.2482422580637822
17,0.42500000000000004,2.078215063663376,1.7494439014562044,2.2338592165727893,3.3345015771098763,3.2253126775459204,1.2171700940460275
18,0.45,2.1074663636644,1.8131177569015782,2.248920618129953,3.349268600688847,3.261140406175355,1.185905494754492
19,0.47500000000000003,2.1324409888182654,1.8653690936507603,2.259991645538024,3.3484738730465433,3.291499127389492,1.1555286840778363
20,0.5,2.157972465344549,1.914937563722163,2.2692242418285593,3.351991770593,3.3160239483143275,1.1259348040860013
21,0.525,2.1836155047823813,1.9677588261017591,2.2845618260186535,3.3538731588075317,3.339297203118623,1.0970407393515906
22,0.55,2.20342339184424,2.0163385852631484,2.2932285102838135,3.3532978074265323,3.3558100342598407,1.0558063489683558
23,0.5750000000000001,2.2197263224498713,2.06097202412931,2.2968867872809295,3.348275594423224,3.3662110379710564,1.015560582716975
24,0.6000000000000001,2.2296806092593315,2.1043865665725208,2.299669623143207,3.342808688314047,3.3757349123009903,0.9762848902439724
25,0.625,2.2350632181788317,2.1483671581982926,2.301635774472066,3.336562231830567,3.3844619178225974,0.9424427852106596
26,0.65,2.2398968373880552,2.1717301693405937,2.302880090930451,3.329654212906221,3.392456307279032,0.9102200043288469
27,0.675,2.2479658709433936,2.1902671944981513,2.3034302881090944,3.3247455810353053,3.3997795681865948,0.8759373707601765
28,0.7000000000000001,2.2625710916355857,2.2079518303654693,2.303256073351736,3.3242414441543473,3.4064713475875785,0.8403512999029303
29,0.7250000000000001,2.2761247749839573,2.2204275663884556,2.3024850861985833,3.322979465680536,3.412628385612014,0.8058067787019763
