formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group
B3H7CO,mp-696308,"[[0.003, 0.009, 0.002, 0.014, 0.007, 0.002], [0.003, 0.005, 0.0, 0.013, 0.006, 0.007], [-0.018, -0.009, -0.005, -0.004, 0.003, 0.004]]",0.027548525902419414,1914,0,Monoclinic,2
SeBr,mp-570589,"[[0.0, 0.0, 0.0, 0.0, -0.271, 0.0], [0.0, 0.0, 0.0, 0.387, 0.0, 0.0], [-0.193, 0.064, -0.151, 0.0, 0.0, 0.0]]",0.3866050913580778,1915,0,Orthorhombic,222
LiCdPO4,mp-556786,"[[-0.023, 0.027, -0.057, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.042], [0.0, 0.0, 0.0, 0.0, 0.132, 0.0]]",0.13178,1916,0,Orthorhombic,222
AsH6NO4,mp-703470,"[[0.0, 0.0, 0.0, -0.086, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.086, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.18]]",0.18028,1917,0,Monoclinic,m
SiPN3,mp-36053,"[[0.116, 0.375, -0.057, 0.0, 0.031, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.31], [0.006, -0.047, 0.007, 0.0, -0.148, 0.0]]",0.40238933332140375,1918,0,Triclinic,1
CdAs2,mp-471,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.353, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.353]]",0.35343560566183296,1919,0,Hexagonal,6mm
PNClF,mp-554472,"[[0.0, 0.0, 0.0, 0.0, -0.028, 0.0], [0.0, 0.0, 0.0, -0.019, 0.0, 0.0], [0.038, 0.041, -0.027, 0.0, 0.0, 0.0]]",0.06254335818349682,1920,0,Cubic,-43m
CsSiTe3,mp-570957,"[[-0.043, 0.058, 0.097, 0.0, 0.124, 0.0], [0.0, 0.0, 0.0, -0.016, 0.0, 0.036], [0.074, -0.017, 0.106, 0.0, 0.027, 0.0]]",0.18714205203188408,1921,0,Cubic,-43m
Na5Fe2P2(CO7)2,mp-777585,"[[0.034, -0.046, -0.028, 0.0, -0.03, 0.0], [0.0, 0.0, 0.0, 0.045, 0.0, -0.165], [-0.026, -0.021, 0.028, 0.0, 0.042, 0.0]]",0.17140655675906916,1922,0,Cubic,23
Ca4Al6WO16,mp-19145,"[[0.0, 0.0, 0.0, 0.504, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.504, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.504]]",0.5035966666666666,1923,0,Orthorhombic,mm2
SrTl2(PO3)4,mp-1208595,"[[0.0, 0.0, 0.0, -0.368, 0.033, 0.0], [0.0, 0.0, 0.0, -0.033, -0.368, 0.0], [0.175, -0.175, 0.0, 0.0, 0.0, -0.065]]",0.3698052993130303,1924,0,Triclinic,1
SnPSe3,mp-570370,"[[-1.716, -0.864, -0.592, 0.0, 0.042, 0.0], [0.0, 0.0, 0.0, -0.134, 0.0, -0.493], [-0.402, -0.672, -0.441, 0.0, -0.579, 0.0]]",2.1643480724971615,1925,0,Tetragonal,-4
SnS2,mp-9984,"[[0.0, 0.0, 0.0, 0.0, -0.014, 0.0], [0.0, 0.0, 0.0, -0.014, 0.0, 0.0], [0.0, 0.0, -0.003, 0.0, 0.0, 0.0]]",0.0141950009618044,1926,0,Cubic,23
NbI4,mp-570044,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.01, 0.003, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.005, 0.0, 0.0]]",0.010528846090621706,1927,0,Trigonal,3m
